"","tailnum","year","type","manufacturer","model","engines","seats","speed","engine"
"550","N26545",2002,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"551","N26549",2002,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"552","N265JB",2006,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,"NA","Turbo-fan"
"553","N265WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,"NA","Turbo-fan"
"554","N266JB",2007,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,"NA","Turbo-fan"
"555","N266WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,"NA","Turbo-fan"
"556","N267JB",2007,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,"NA","Turbo-fan"
"557","N267WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,"NA","Turbo-fan"
"558","N268WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,"NA","Turbo-fan"
"559","N26906",2012,"Fixed wing multi engine","BOEING","787-8",2,260,"NA","Turbo-fan"
"560","N269WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,"NA","Turbo-fan"
"561","N270WN",1998,"Fixed wing multi engine","BOEING","737-705",2,149,"NA","Turbo-fan"
"562","N27152",2003,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"563","N27190",2005,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"564","N27200",2006,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"565","N27205",2000,"Fixed wing multi engine","BOEING","737-824",2,149,"NA","Turbo-fan"
"566","N27213",1998,"Fixed wing multi engine","BOEING","737-824",2,149,"NA","Turbo-fan"
"567","N27239",1999,"Fixed wing multi engine","BOEING","737-824",2,149,"NA","Turbo-fan"
"568","N272PQ",2013,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,"NA","Turbo-fan"
"569","N272WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,"NA","Turbo-fan"
"570","N273AT",2005,"Fixed wing multi engine","BOEING","737-76N",2,149,"NA","Turbo-fan"
"571","N273JB",2007,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,"NA","Turbo-fan"
"572","N273WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,"NA","Turbo-fan"
"573","N27421",2008,"Fixed wing multi engine","BOEING","737-924ER",2,191,"NA","Turbo-fan"
"574","N27477",2013,"Fixed wing multi engine","BOEING","737-924ER",2,191,"NA","Turbo-fan"
"575","N274JB",2007,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,"NA","Turbo-fan"
"576","N274WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,"NA","Turbo-fan"
"577","N275WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,"NA","Turbo-fan"
"578","N276AT",2005,"Fixed wing multi engine","BOEING","737-76N",2,149,"NA","Turbo-fan"
"579","N276WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,"NA","Turbo-fan"
"580","N27722",1999,"Fixed wing multi engine","BOEING","737-724",2,149,"NA","Turbo-jet"
"581","N27724",1999,"Fixed wing multi engine","BOEING","737-724",2,149,"NA","Turbo-jet"
"582","N27733",1999,"Fixed wing multi engine","BOEING","737-724",2,149,"NA","Turbo-jet"
"583","N277WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,"NA","Turbo-fan"
"584","N278AT",2005,"Fixed wing multi engine","BOEING","737-76N",2,149,"NA","Turbo-fan"
"585","N278WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,"NA","Turbo-fan"
"586","N27901",2012,"Fixed wing multi engine","BOEING","787-8",2,260,"NA","Turbo-fan"
"587","N27962",1999,"Fixed wing multi engine","EMBRAER","EMB-145",2,55,"NA","Turbo-jet"
"588","N279AT",2005,"Fixed wing multi engine","BOEING","737-76N",2,149,"NA","Turbo-fan"
"589","N279JB",2007,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,"NA","Turbo-fan"
"590","N279PQ",2013,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,"NA","Turbo-fan"
"591","N279WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,"NA","Turbo-fan"
"592","N280WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,"NA","Turbo-fan"
"593","N281JB",2007,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,"NA","Turbo-fan"
"594","N281WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,"NA","Turbo-fan"
"595","N282WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,"NA","Turbo-fan"
"596","N283JB",2007,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,"NA","Turbo-fan"
"597","N283WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,"NA","Turbo-fan"
"598","N28457",2012,"Fixed wing multi engine","BOEING","737-924ER",2,191,"NA","Turbo-fan"
"599","N28478",2013,"Fixed wing multi engine","BOEING","737-924ER",2,191,"NA","Turbo-fan"
"600","N284AT",2006,"Fixed wing multi engine","BOEING","737-76N",2,149,"NA","Turbo-fan"
"601","N284JB",2008,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,"NA","Turbo-fan"
"602","N284WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,"NA","Turbo-fan"
"603","N285AT",2006,"Fixed wing multi engine","BOEING","737-76N",2,149,"NA","Turbo-fan"
"604","N285WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,"NA","Turbo-fan"
"605","N286WN",2004,"Fixed wing multi engine","BOEING","737-7H4",2,140,"NA","Turbo-fan"
"606","N287AT",2006,"Fixed wing multi engine","BOEING","737-76N",2,149,"NA","Turbo-fan"
"607","N287WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,"NA","Turbo-fan"
"608","N288WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,"NA","Turbo-fan"
"609","N289AT",2006,"Fixed wing multi engine","BOEING","737-76N",2,149,"NA","Turbo-fan"
"610","N289CT",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,"NA","Turbo-fan"
"611","N290WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,"NA","Turbo-fan"
"612","N29124",1998,"Fixed wing multi engine","BOEING","757-224",2,178,"NA","Turbo-jet"
"613","N29129",1998,"Fixed wing multi engine","BOEING","757-224",2,178,"NA","Turbo-jet"
"614","N291AT",2006,"Fixed wing multi engine","BOEING","737-76N",2,149,"NA","Turbo-fan"
"615","N291WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,"NA","Turbo-fan"
"616","N292JB",2008,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,"NA","Turbo-fan"
"617","N292PQ",2013,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,"NA","Turbo-fan"
"618","N292WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,"NA","Turbo-fan"
"619","N293PQ",2013,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,"NA","Turbo-fan"
"620","N293WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,"NA","Turbo-fan"
"621","N294JB",2008,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,"NA","Turbo-fan"
"622","N294PQ",2013,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,"NA","Turbo-fan"
"623","N294WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,"NA","Turbo-fan"
"624","N295AT",2006,"Fixed wing multi engine","BOEING","737-76N",2,149,"NA","Turbo-fan"
"625","N295PQ",2013,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,"NA","Turbo-fan"
"626","N295WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,"NA","Turbo-fan"
"627","N296JB",2008,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,"NA","Turbo-fan"
"628","N296PQ",2013,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,"NA","Turbo-fan"
"629","N296WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,"NA","Turbo-fan"
"630","N29717",1999,"Fixed wing multi engine","BOEING","737-724",2,149,"NA","Turbo-jet"
"631","N297PQ",2013,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,"NA","Turbo-fan"
"632","N297WN",2007,"Fixed wing multi engine","BOEING","737-7H4",2,140,"NA","Turbo-fan"
"633","N298JB",2009,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,"NA","Turbo-fan"
"634","N298PQ",2013,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,"NA","Turbo-fan"
"635","N29906",2001,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"636","N29917",2001,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,"NA","Turbo-fan"
"637","N299AT",2006,"Fixed wing multi engine","BOEING","737-76N",2,149,"NA","Turbo-fan"
"638","N299PQ",2013,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,"NA","Turbo-fan"
"639","N301NB",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-114",2,145,"NA","Turbo-fan"
"640","N302AS",2003,"Fixed wing multi engine","BOEING","737-990",2,149,"NA","Turbo-jet"
"641","N302DQ",2008,"Fixed wing multi engine","BOEING","737-732",2,149,"NA","Turbo-fan"
"642","N302NB",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-114",2,145,"NA","Turbo-fan"
"643","N303AS",2001,"Fixed wing multi engine","BOEING","737-990",2,149,"NA","Turbo-jet"
"644","N303DQ",2008,"Fixed wing multi engine","BOEING","737-732",2,149,"NA","Turbo-fan"
"645","N30401",2001,"Fixed wing multi engine","BOEING","737-924",2,191,"NA","Turbo-fan"
"646","N304DQ",2008,"Fixed wing multi engine","BOEING","737-732",2,149,"NA","Turbo-fan"
"647","N304JB",2009,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,"NA","Turbo-fan"
"648","N305AS",2001,"Fixed wing multi engine","BOEING","737-990",2,149,"NA","Turbo-jet"
"649","N305DQ",2008,"Fixed wing multi engine","BOEING","737-732",2,149,"NA","Turbo-fan"
"650","N306AS",2001,"Fixed wing multi engine","BOEING","737-990",2,149,"NA","Turbo-jet"
"651","N306DQ",2009,"Fixed wing multi engine","BOEING","737-732",2,149,"NA","Turbo-fan"
"652","N306JB",2009,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,"NA","Turbo-fan"
"653","N307AS",2001,"Fixed wing multi engine","BOEING","737-990",2,149,"NA","Turbo-jet"
"654","N307DQ",2009,"Fixed wing multi engine","BOEING","737-732",2,149,"NA","Turbo-fan"
"655","N307JB",2009,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,"NA","Turbo-fan"
"656","N309AS",2001,"Fixed wing multi engine","BOEING","737-990",2,149,"NA","Turbo-jet"
"657","N309AT",2006,"Fixed wing multi engine","BOEING","737-7BD",2,149,"NA","Turbo-fan"
"658","N309DE",2009,"Fixed wing multi engine","BOEING","737-732",2,149,"NA","Turbo-fan"
"659","N309JB",2009,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,"NA","Turbo-fan"
"660","N309US",1990,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-211",2,182,"NA","Turbo-jet"
"661","N310DE",2009,"Fixed wing multi engine","BOEING","737-732",2,149,"NA","Turbo-fan"
"662","N310NW",1990,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-211",2,182,"NA","Turbo-jet"
"663","N31131",2003,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"664","N311US",1990,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-211",2,182,"NA","Turbo-jet"
"665","N312US",1990,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-211",2,182,"NA","Turbo-jet"
"666","N313US",1990,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-211",2,182,"NA","Turbo-jet"
"667","N31412",2002,"Fixed wing multi engine","BOEING","737-924",2,191,"NA","Turbo-fan"
"668","N314NB",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-114",2,145,"NA","Turbo-fan"
"669","N314US",1991,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-211",2,182,"NA","Turbo-jet"
"670","N315AS",2002,"Fixed wing multi engine","BOEING","737-990",2,149,"NA","Turbo-jet"
"671","N315NB",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-114",2,145,"NA","Turbo-fan"
"672","N315US",1991,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-211",2,182,"NA","Turbo-jet"
"673","N316JB",2009,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,"NA","Turbo-fan"
"674","N316NB",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-114",2,145,"NA","Turbo-fan"
"675","N316US",1991,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-211",2,182,"NA","Turbo-jet"
"676","N317JB",2010,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,"NA","Turbo-fan"
"677","N317NB",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-114",2,145,"NA","Turbo-fan"
"678","N317US",1991,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-211",2,182,"NA","Turbo-jet"
"679","N317WN",1988,"Fixed wing multi engine","BOEING","737-3Q8",2,149,"NA","Turbo-fan"
"680","N318AS",2003,"Fixed wing multi engine","BOEING","737-990",2,149,"NA","Turbo-jet"
"681","N318JB",2010,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,"NA","Turbo-fan"
"682","N318NB",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-114",2,145,"NA","Turbo-fan"
"683","N318US",1991,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-211",2,182,"NA","Turbo-jet"
"684","N319AA",1985,"Fixed wing multi engine","BOEING","767-223",2,255,"NA","Turbo-fan"
"685","N319AS",2003,"Fixed wing multi engine","BOEING","737-990",2,149,"NA","Turbo-jet"
"686","N319NB",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-114",2,145,"NA","Turbo-fan"
"687","N319US",1991,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-211",2,182,"NA","Turbo-jet"
"688","N320AA",1985,"Fixed wing multi engine","BOEING","767-223",2,255,"NA","Turbo-fan"
"689","N320AS",2003,"Fixed wing multi engine","BOEING","737-990",2,149,"NA","Turbo-jet"
"690","N320NB",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-114",2,145,"NA","Turbo-fan"
"691","N320US",1991,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-211",2,182,"NA","Turbo-jet"
"692","N321NB",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-114",2,145,"NA","Turbo-fan"
"693","N321US",1992,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-211",2,182,"NA","Turbo-jet"
"694","N322NB",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-114",2,145,"NA","Turbo-fan"
"695","N322US",1992,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-211",2,182,"NA","Turbo-jet"
"696","N323AA",1986,"Fixed wing multi engine","BOEING","767-223",2,255,"NA","Turbo-fan"
"697","N323AS",2004,"Fixed wing multi engine","BOEING","737-990",2,149,"NA","Turbo-jet"
"698","N323JB",2010,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,"NA","Turbo-fan"
"699","N323NB",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-114",2,145,"NA","Turbo-fan"
"700","N323US",1992,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-211",2,182,"NA","Turbo-jet"
"701","N32404",2001,"Fixed wing multi engine","BOEING","737-924",2,191,"NA","Turbo-fan"
"702","N324AA",1986,"Fixed wing multi engine","BOEING","767-223",2,255,"NA","Turbo-fan"
"703","N324JB",2010,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,"NA","Turbo-fan"
"704","N324NB",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-114",2,145,"NA","Turbo-fan"
"705","N324US",1992,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-211",2,182,"NA","Turbo-jet"
"706","N325AA",1986,"Fixed wing multi engine","BOEING","767-223",2,255,"NA","Turbo-fan"
"707","N325NB",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-114",2,145,"NA","Turbo-fan"
"708","N325US",1992,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-211",2,182,"NA","Turbo-jet"
"709","N326AT",2007,"Fixed wing multi engine","BOEING","737-7BD",2,149,"NA","Turbo-fan"
"710","N326NB",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-114",2,145,"NA","Turbo-fan"
"711","N326US",1992,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-211",2,182,"NA","Turbo-jet"
"712","N327AA",1986,"Fixed wing multi engine","BOEING","767-223",2,255,"NA","Turbo-fan"
"713","N327NB",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-114",2,145,"NA","Turbo-fan"
"714","N327NW",1992,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-211",2,182,"NA","Turbo-jet"
"715","N328AA",1986,"Fixed wing multi engine","BOEING","767-223",2,255,"NA","Turbo-fan"
"716","N328JB",2011,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,"NA","Turbo-fan"
"717","N328NB",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-114",2,145,"NA","Turbo-fan"
"718","N328NW",1992,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-211",2,182,"NA","Turbo-jet"
"719","N329AA",1987,"Fixed wing multi engine","BOEING","767-223",2,255,"NA","Turbo-fan"
"720","N329JB",2011,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,"NA","Turbo-fan"
"721","N329NB",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-114",2,145,"NA","Turbo-fan"
"722","N329NW",1992,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-211",2,182,"NA","Turbo-jet"
"723","N330AT",2007,"Fixed wing multi engine","BOEING","737-7BD",2,149,"NA","Turbo-fan"
"724","N330NB",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-114",2,145,"NA","Turbo-fan"
"725","N330NW",1992,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-211",2,182,"NA","Turbo-jet"
"726","N33103",1994,"Fixed wing multi engine","BOEING","757-224",2,178,"NA","Turbo-jet"
"727","N33132",1998,"Fixed wing multi engine","BOEING","757-224",2,178,"NA","Turbo-jet"
"728","N33182",2005,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"729","N331NW",1992,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-211",2,182,"NA","Turbo-jet"
"730","N33203",2000,"Fixed wing multi engine","BOEING","737-824",2,149,"NA","Turbo-fan"
"731","N33209",2000,"Fixed wing multi engine","BOEING","737-824",2,149,"NA","Turbo-fan"
"732","N33262",2001,"Fixed wing multi engine","BOEING","737-824",2,149,"NA","Turbo-fan"
"733","N33264",2001,"Fixed wing multi engine","BOEING","737-824",2,149,"NA","Turbo-fan"
"734","N33266",2001,"Fixed wing multi engine","BOEING","737-824",2,149,"NA","Turbo-fan"
"735","N33284",2004,"Fixed wing multi engine","BOEING","737-824",2,149,"NA","Turbo-fan"
"736","N33286",2004,"Fixed wing multi engine","BOEING","737-824",2,149,"NA","Turbo-fan"
"737","N33289",2004,"Fixed wing multi engine","BOEING","737-824",2,149,"NA","Turbo-fan"
"738","N33294",2005,"Fixed wing multi engine","BOEING","737-824",2,149,"NA","Turbo-fan"
"739","N332AA",1987,"Fixed wing multi engine","BOEING","767-223",2,255,"NA","Turbo-fan"
"740","N332NB",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-114",2,145,"NA","Turbo-fan"
"741","N332NW",1992,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-211",2,182,"NA","Turbo-jet"
"742","N333NB",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-114",2,145,"NA","Turbo-fan"
"743","N333NW",1992,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-211",2,182,"NA","Turbo-jet"
"744","N334JB",2011,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,"NA","Turbo-fan"
"745","N334NB",2002,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-114",2,145,"NA","Turbo-fan"
"746","N334NW",1992,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,"NA","Turbo-fan"
"747","N335AA",1987,"Fixed wing multi engine","BOEING","767-223",2,255,"NA","Turbo-fan"
"748","N335NB",2002,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-114",2,145,"NA","Turbo-fan"
"749","N335NW",1992,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,"NA","Turbo-fan"
"750","N336AA",1987,"Fixed wing multi engine","BOEING","767-223",2,255,"NA","Turbo-fan"
"751","N336AT",2008,"Fixed wing multi engine","BOEING","737-7BD",2,149,"NA","Turbo-fan"
"752","N336NB",2002,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-114",2,145,"NA","Turbo-fan"
"753","N336NW",1992,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,"NA","Turbo-fan"
"754","N33714",1998,"Fixed wing multi engine","BOEING","737-724",2,149,"NA","Turbo-jet"
"755","N337JB",2011,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,"NA","Turbo-fan"
"756","N337NB",2002,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-114",2,145,"NA","Turbo-fan"
"757","N337NW",1992,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,"NA","Turbo-fan"
"758","N338AA",1987,"Fixed wing multi engine","BOEING","767-223",2,255,"NA","Turbo-fan"
"759","N338AT",2008,"Fixed wing multi engine","BOEING","737-7BD",2,149,"NA","Turbo-fan"
"760","N338NB",2002,"Fixed wing multi engine","AIRBUS","A319-114",2,145,"NA","Turbo-fan"
"761","N338NW",1992,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,"NA","Turbo-fan"
"762","N339AA",1988,"Fixed wing multi engine","BOEING","767-223",2,255,"NA","Turbo-fan"
"763","N339JB",2011,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,"NA","Turbo-fan"
"764","N339NB",2002,"Fixed wing multi engine","AIRBUS","A319-114",2,145,"NA","Turbo-fan"
"765","N339NW",1992,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,"NA","Turbo-fan"
"766","N340LV",1987,"Fixed wing multi engine","BOEING","737-3K2",2,149,"NA","Turbo-jet"
"767","N340NB",2002,"Fixed wing multi engine","AIRBUS","A319-114",2,145,"NA","Turbo-fan"
"768","N340NW",1992,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,"NA","Turbo-fan"
"769","N34110",2002,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"770","N34111",2002,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,"NA","Turbo-fan"
"771","N34131",1998,"Fixed wing multi engine","BOEING","757-224",2,178,"NA","Turbo-jet"
"772","N34137",1999,"Fixed wing multi engine","BOEING","757-224",2,178,"NA","Turbo-jet"
"773","N341NB",2002,"Fixed wing multi engine","AIRBUS","A319-114",2,145,"NA","Turbo-fan"
"774","N341NW",1992,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,"NA","Turbo-fan"
"775","N34222",1998,"Fixed wing multi engine","BOEING","737-824",2,149,"NA","Turbo-fan"
"776","N34282",2004,"Fixed wing multi engine","BOEING","737-824",2,149,"NA","Turbo-fan"
"777","N342NB",2002,"Fixed wing multi engine","AIRBUS","A319-114",2,145,"NA","Turbo-fan"
"778","N342NW",1993,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,"NA","Turbo-fan"
"779","N343NB",2002,"Fixed wing multi engine","AIRBUS","A319-114",2,145,"NA","Turbo-fan"
"780","N343NW",1993,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,"NA","Turbo-fan"
"781","N34455",2012,"Fixed wing multi engine","BOEING","737-924ER",2,191,"NA","Turbo-fan"
"782","N34460",2012,"Fixed wing multi engine","BOEING","737-924ER",2,191,"NA","Turbo-fan"
"783","N344AA",1992,"Fixed wing multi engine","GULFSTREAM AEROSPACE","G-IV",2,22,"NA","Turbo-fan"
"784","N344NB",2002,"Fixed wing multi engine","AIRBUS","A319-114",2,145,"NA","Turbo-fan"
"785","N344NW",1993,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,"NA","Turbo-fan"
"786","N344SW",1989,"Fixed wing multi engine","BOEING","737-3H4",2,149,"NA","Turbo-fan"
"787","N345NW",1993,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,"NA","Turbo-fan"
"788","N345SA",1987,"Fixed wing multi engine","BOEING","737-3K2",2,149,"NA","Turbo-jet"
"789","N346JB",2011,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,"NA","Turbo-fan"
"790","N346NB",2002,"Fixed wing multi engine","AIRBUS","A319-114",2,145,"NA","Turbo-fan"
"791","N346SW",1989,"Fixed wing multi engine","BOEING","737-3H4",2,149,"NA","Turbo-fan"
"792","N347AA",1985,"Rotorcraft","SIKORSKY","S-76A",2,14,"NA","Turbo-shaft"
"793","N347NB",2002,"Fixed wing multi engine","AIRBUS","A319-114",2,145,"NA","Turbo-fan"
"794","N347NW",1993,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,"NA","Turbo-fan"
"795","N347SW",1989,"Fixed wing multi engine","BOEING","737-3H4",2,149,"NA","Turbo-fan"
"796","N348JB",2012,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,"NA","Turbo-fan"
"797","N348NB",2002,"Fixed wing multi engine","AIRBUS","A319-114",2,145,"NA","Turbo-fan"
"798","N348NW",1993,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,"NA","Turbo-fan"
"799","N349NB",2002,"Fixed wing multi engine","AIRBUS","A319-114",2,145,"NA","Turbo-fan"
"800","N349NW",1996,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,"NA","Turbo-fan"
"801","N349SW",1989,"Fixed wing multi engine","BOEING","737-3H4",2,149,"NA","Turbo-fan"
"802","N350AA",1980,"Fixed wing multi engine","PIPER","PA-31-350",2,8,"162","Reciprocating"
"803","N350NA",1993,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,"NA","Turbo-fan"
"804","N350SW",1989,"Fixed wing multi engine","BOEING","737-3H4",2,149,"NA","Turbo-fan"
"805","N351AA",1988,"Fixed wing multi engine","BOEING","767-323",2,330,"NA","Turbo-fan"
"806","N351JB",2012,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,"NA","Turbo-fan"
